timestamp -- motor_step_command,mfc1_stpt,mfc2_stpt,mfc3_stpt,led1_stpt,led2_stpt,ft_posx,ft_posy,ft_heading,ft_frame,ft_error,ft_roll,ft_pitch,ft_yaw
02/21/2020-15:27:03.051735 -- 799995,0.5944777080084241,0.0,0.00612289259217648,0.0,0.0,-0.089953637669004,0.19461616597383902,0.039005991218318,2,6372.9426456984,0.043902567140614,0.018367839972622,-0.023983567454041
02/21/2020-15:27:03.067368 -- 799993,0.5944099391015867,0.0,0.00619066149901397,1.0,0.0,-0.086606187000366,0.30745139585826,0.054489784237799,3,5771.8816254417,0.037623148516318,-0.00064303735679898,-0.015483793019481
02/21/2020-15:27:03.082986 -- 799998,0.5943985064366711,0.0,0.006202094163929447,1.0,0.0,-0.195834508575684,0.32648678294253,0.010811212588208,4,6107.0015936255,0.0051535560838479,-0.036599897352861,0.04367857164959
02/21/2020-15:27:03.114220 -- 800009,0.5944171573748482,0.0,0.006183443225752417,0.0,0.0,-0.35987824556769,0.295432970877774,6.2096757171833,5,5938.0207532667,-0.0086346506709608,-0.054994101652649,0.084320802584497
02/21/2020-15:27:03.129841 -- 800022,0.5944689975260158,0.0,0.006131603074584844,0.0,0.0,-0.40226190030414,0.20911911918376502,6.103537555505,6,6154.9004559271,-0.026769363551741,-0.017654738046715,0.10613816167827
02/21/2020-15:27:03.145462 -- 800033,0.5944478660988255,0.0,0.006152734501775145,0.0,0.0,-0.5244258074920201,0.24430294545561598,6.016302166339,7,6116.736349454,0.020459246674512,-0.037124875112621,0.087235389166017
02/21/2020-15:27:03.161084 -- 800042,0.5944342933048131,0.0,0.0061663072957874885,0.0,0.0,-0.64917665547306,0.26690164748616896,5.9507485413254,8,6248.8147566719,0.019475769826387,-0.03751314182838,0.065553625013628
02/21/2020-15:27:03.176706 -- 800047,0.594407316175344,0.0,0.006193284425256528,0.0,0.0,-0.73777865557317,0.31181856805212,5.9081556180841,9,6253.6980392157,0.024277678272906,-0.02252058790236,0.042592923241326
02/21/2020-15:27:03.192327 -- 800048,0.5943743357302871,0.0,0.00622626487031352,1.0,0.0,-0.8462045727420601,0.36673100907201,5.9023969008156,10,6495.8915022762,0.030348200294346,-0.026837938763386,0.0057587172684934
02/21/2020-15:27:03.207948 -- 800044,0.5943143774649171,0.0,0.006286223135683466,1.0,0.0,-0.91965673959243,0.46656152091297004,5.9373042424622,11,6300.5554716981,0.039807784092818,-0.011059823592662,-0.034907341646603
02/21/2020-15:27:03.223569 -- 800042,0.5942618788000973,0.0,0.006338721800503339,1.0,0.0,-0.98305594471983,0.55397179783806,5.9497085502606,12,6028.013137558,0.034513349425165,-0.010217709518934,-0.012404307798421
02/21/2020-15:27:03.239190 -- 800040,0.5942229857704688,0.0,0.006377614830131736,1.0,0.0,-1.05219603802491,0.61872869216934,5.9626387306232,13,6057.8826606876,0.027844847817316,-0.014891851350962,-0.012930180362566
02/21/2020-15:27:03.254811 -- 800040,0.5941586524855972,0.0,0.006441948115003393,1.0,0.0,-1.0764056292381299,0.7258436114806499,5.9673202579686,14,5870.4061331339,0.036437314648291,0.0035060234824338,-0.0046815273454885
02/21/2020-15:27:03.270433 -- 800037,0.5940590655197161,0.0,0.0065415350808844565,1.0,0.0,-1.0449950518791,0.89165590967262,5.9860927711754,15,5926.3525018671,0.049537039359989,0.026658045092887,-0.018772513206757
02/21/2020-15:27:03.286055 -- 800038,0.59402223811035,0.0,0.006578362490250619,1.0,0.0,-1.11869460096588,0.9529735462672799,5.9835390453558,16,6125.1890472618,0.026757778541001,-0.017472748190964,0.0025537258195839
02/21/2020-15:27:03.301687 -- 800034,0.5939732461605803,0.0,0.0066273544400202765,1.0,0.0,-1.15168806753138,1.03454514263376,6.0105173989911,17,6377.0509745127,0.029190007388743,-0.0028756768366285,-0.026978353635262
02/21/2020-15:27:03.317316 -- 800032,0.5939005025946588,0.0,0.006700098005941861,1.0,0.0,-1.11474387751386,1.1556631798932,6.0284585911691,18,6180.5029717682,0.035767704151243,0.02241253967944,-0.01794119217798
02/21/2020-15:27:03.332919 -- 800029,0.5938301914863613,0.0,0.006770409114239321,1.0,0.0,-1.09718104741521,1.27273117520847,6.0501474846808,19,5964.9317841079,0.036454926837855,0.015104187510618,-0.021688893511698
02/21/2020-15:27:03.348541 -- 800027,0.5937691916129582,0.0,0.006831408987642456,1.0,0.0,-1.10488395599547,1.37429596442469,6.0671447132607,20,6325.0288753799,0.033577144492446,0.0050349190417285,-0.016997228579982
02/21/2020-15:27:03.364161 -- 800029,0.5937522811459494,0.0,0.006848319454651303,1.0,0.0,-1.13720867014746,1.40245189199442,6.047854746343,21,6140.5912408759,0.011558624465257,-0.0084015913094883,0.019289966917696
02/21/2020-15:27:03.379782 -- 800028,0.5936959246026359,0.0,0.006904675997964781,1.0,0.0,-1.09018486278801,1.49628553661136,6.0557952188963,22,6156.539039039,0.026850345329681,0.022429088714942,-0.0079404725532969
02/21/2020-15:27:03.395404 -- 800028,0.5936458620333117,0.0,0.006954738567288853,1.0,0.0,-1.0457579520493199,1.57963971453594,6.0584664963985,23,6067.9728301887,0.023758646881586,0.020659715589393,-0.0026712775021851
02/21/2020-15:27:03.411025 -- 800028,0.5936188955312901,0.0,0.006981705069310474,1.0,0.0,-1.09526585909607,1.62453894040194,6.061664902983,24,5949.4413946588,0.018247014507918,-0.012781910253114,-0.0031984065844372
02/21/2020-15:27:03.442267 -- 800028,0.5935409226316783,0.0,0.007059677968922294,1.0,0.0,-1.1426909087136,1.75436381825562,6.0571854288568,25,6700.5048762191,0.045703984069409,-0.0058116430082349,0.0044794741261421
02/21/2020-15:27:03.457889 -- 800022,0.5934054850486066,0.0,0.00719511555199406,1.0,0.0,-1.1635087656304801,1.97986739407011,6.1065790768322,26,6258.5094637224,0.07504461998759,0.0082311555210612,-0.049393647975385
02/21/2020-15:27:03.473510 -- 800021,0.5932928353614935,0.0,0.007307765239107195,1.0,0.0,-1.19574124877403,2.1674291231134797,6.1119780003818,27,6156.6558800316,0.063436684691029,0.00023593011215085,-0.0053989235495849
02/21/2020-15:27:03.489132 -- 800020,0.5932396711693637,0.0,0.007360929431236942,1.0,0.0,-1.1626610801706,2.25594750300951,6.1235032496819,28,6354.5765069552,0.027287366938262,0.015735629259046,-0.011525249300108
02/21/2020-15:27:03.504753 -- 800017,0.593138746494109,0.0,0.007461854106491537,1.0,0.0,-1.0801256397721501,2.4239870873084097,6.1459695897102,29,6023.7200622084,0.051329041586492,0.035494519673289,-0.022466340028275
02/21/2020-15:27:03.520375 -- 800016,0.5929743170709144,0.0,0.007626283529686222,1.0,0.0,-1.06346329742181,2.69776207692756,6.1512995055197,30,6244.0355411955,0.089688551304882,0.017745795876812,-0.0053299158095742
02/21/2020-15:27:03.535995 -- 800015,0.5928158779254799,0.0,0.007784722675120762,1.0,0.0,-1.02280904531871,2.96156325407607,6.1592108938093,31,6488.5318444996,0.085486439604555,0.024659448144735,-0.0079113882895173
02/21/2020-15:27:03.551616 -- 800015,0.5927427943857501,0.0,0.00785780621485051,1.0,0.0,-1.00040794177512,3.0832473477261,6.1628336338522,32,6237.3440944882,0.039349167465593,0.012354175910763,-0.0036227400429055
02/21/2020-15:27:03.567244 -- 800012,0.5926736396155874,0.0,0.007926960985013214,1.0,0.0,-1.0177915730671798,3.198390040047,6.1842566778673,33,6003.4976,0.038785178661681,-0.0015601170183994,-0.021423044015092
02/21/2020-15:27:03.582859 -- 800009,0.5925908277515172,0.0,0.008009772849083484,1.0,0.0,-1.05249762323313,3.3362717937240003,6.2103318358086,34,6002.7637407711,0.046784824517988,-0.0075834874454266,-0.026075157941328
02/21/2020-15:27:03.598481 -- 800005,0.5925303996311968,0.0,0.008070200969403843,1.0,0.0,-1.0217704819920899,3.4368846140573996,6.2374553171342,35,6046.4525660964,0.032872685134264,0.012212070893051,-0.027123481325637
02/21/2020-15:27:03.614101 -- 800006,0.5924786455934399,0.0,0.00812195500716078,1.0,0.0,-0.9769181125442399,3.5230550869226995,6.2334911279244,36,6291.6149691358,0.027977757899573,0.016303723471195,0.0039641892098613
02/21/2020-15:27:03.629723 -- 800006,0.5923360551984094,0.0,0.008264545402191232,1.0,0.0,-1.0067272609760098,3.7604680946484,6.2282627705462,37,6205.4345794393,0.079549030913718,-0.0057851242648136,0.0052283573781898
02/21/2020-15:27:03.645346 -- 800007,0.5922682446382328,0.0,0.008332355962367808,1.0,0.0,-1.03621341770415,3.8733726773423998,6.222722923323,38,6501.0463320463,0.038139020146704,-0.0076423321095677,0.0055398472231536
02/21/2020-15:27:03.660965 -- 800010,0.5921793491896452,0.0,0.008421251410955375,1.0,0.0,-1.0311719143771199,4.0213835992407,6.2024528594629,39,6615.4310487201,0.049096324876427,0.0051565681293136,0.020270063860126
02/21/2020-15:27:03.676587 -- 800009,0.5921144506867265,0.0,0.008486149913874114,1.0,0.0,-1.07124445958094,4.1294396066004,6.2068251817593,40,6202.9930715935,0.036955749608501,-0.010490114820265,-0.0043723222963856
02/21/2020-15:27:03.707830 -- 800009,0.5919965830020061,0.0,0.008604017598594475,1.0,0.0,-1.03573064810679,4.3256893016598,6.2093726862788,41,6305.3706020328,0.064344227086566,0.016711864542992,-0.0025475045194823
02/21/2020-15:27:03.723452 -- 800008,0.5918753192074943,0.0,0.008725281393106367,1.0,0.0,-1.0841576004607498,4.5275935195220995,6.2193702010449,42,6400.0224179343,0.068252326274673,-0.011476542078025,-0.009997514766182
02/21/2020-15:27:03.739072 -- 800006,0.5918414242976419,0.0,0.0087591763029588,1.0,0.0,-1.06411146166671,4.5840285444264,6.2312228483852,43,6808.0441736481,0.018393665186326,0.0077592726753246,-0.011852647340248
02/21/2020-15:27:03.754694 -- 800005,0.5917664874719725,0.0,0.008834113128628168,1.0,0.0,-0.9996936005013,4.7087983591658995,6.236495202963,44,6683.1840490798,0.040480661529641,0.023497174076267,-0.0052723545778025
02/21/2020-15:27:03.770316 -- 800003,0.5916900164483667,0.0,0.008910584152233933,1.0,0.0,-0.96331401469743,4.8361226134695,6.254277524773,45,6421.6707787201,0.041953359789209,0.013721894946258,-0.017782321810021
02/21/2020-15:27:03.785936 -- 800007,0.5916126257968458,0.0,0.008987974803754835,1.0,0.0,-0.9663639906047101,4.9649780482518,6.2219333106941,46,6314.4830575256,0.042955746436995,0.00092001898434007,0.032344214078887
02/21/2020-15:27:03.801557 -- 800010,0.5915388960964382,0.0,0.009061704504162403,1.0,0.0,-0.96801313026321,5.0877379994304,6.1983415373596,47,6609.2511811024,0.040851865729232,0.0024382663516229,0.0235917733345
02/21/2020-15:27:03.817196 -- 800009,0.5914833276804059,0.0,0.009117272920194654,1.0,0.0,-1.0242959875403401,5.1802594121241,6.2108768711897,48,6102.4177708496,0.032218155985443,-0.016282334085687,-0.012535333830023
02/21/2020-15:27:03.832801 -- 800010,0.5914153167353935,0.0,0.009185283865207087,1.0,0.0,-0.95638113389667,5.2934976355698,6.201197942299,49,5911.1580570547,0.035889168830178,0.025480184563005,0.0096789288906186
